games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Beijing 2008,1.0,Cameroon,1,0,0,1,Beijing ,2008,China,Cameroon,19843.0,2352.8,China,0
London 2012,1.0,Cameroon,0,0,1,1,London ,2012,United Kingdom,Cameroon,22181.0,2541.0,United Kingdom,0
Munich 1972,1.0,Colombia,0,1,2,3,Munich ,1972,Germany,Colombia,22543.0,5348.0,Germany,0
Los Angeles 1984,1.0,Colombia,0,1,0,1,Los Angeles ,1984,United States,Colombia,29096.0,6741.0,United States,0
Seoul 1988,1.0,Colombia,0,0,1,1,Seoul ,1988,South Korea,Colombia,31673.0,7442.0,Republic of Korea,0
Barcelona 1992,1.0,Colombia,0,0,1,1,Barcelona ,1992,Spain,Colombia,34314.0,7888.11,Spain,0
Sydney 2000,1.0,Colombia,1,0,0,1,Sydney ,2000,Australia,Colombia,38917.0,8496.79,Australia,0
Athens 2004,1.0,Colombia,0,0,2,2,Athens ,2004,Greece,Colombia,40918.0,9211.28,Greece,0
Beijing 2008,1.0,Colombia,0,2,1,3,Beijing ,2008,China,Colombia,42930.0,10846.74,China,0
London 2012,1.0,Colombia,1,3,4,8,London ,2012,United Kingdom,Colombia,44988.0,12123.0,United Kingdom,0
Rio 2016,1.0,Colombia,3,2,3,8,Rio ,2016,Brazil,Colombia,47079.0,13326.0,Brazil,0
Tokyo 2020,1.0,Colombia,0,4,1,5,Tokyo ,2020,Japan,Colombia,,,Japan,0
Munich 1972,1.0,Niger,0,0,1,1,Munich ,1972,Germany,Niger,5060.0,1282.0,Germany,0
Rio 2016,1.0,Niger,0,1,0,1,Rio ,2016,Brazil,Niger,19710.0,925.0,Brazil,0
Montreal 1976,1.0,Bermuda,0,0,1,1,Montreal ,1976,Canada,,,,Canada,0
Tokyo 2020,1.0,Bermuda,1,0,0,1,Tokyo ,2020,Japan,,,,Japan,0
Montreal 1976,1.0,Thailand,0,0,1,1,Montreal ,1976,Canada,Thailand,43221.0,3333.0,Canada,0
Los Angeles 1984,1.0,Thailand,0,1,0,1,Los Angeles ,1984,United States,Thailand,50534.0,4720.0,United States,0
Seoul 1988,1.0,Thailand,0,0,1,1,Seoul ,1988,South Korea,Thailand,53683.0,6089.0,Republic of Korea,0
Barcelona 1992,1.0,Thailand,0,0,1,1,Barcelona ,1992,Spain,Thailand,56675.0,8409.02,Spain,0
Atlanta 1996,1.0,Thailand,1,0,1,2,Atlanta ,1996,United States,Thailand,59560.0,10458.36,United States,0
Sydney 2000,1.0,Thailand,1,0,2,3,Sydney ,2000,Australia,Thailand,61893.0,9627.1,Australia,0
Athens 2004,1.0,Thailand,3,1,4,8,Athens ,2004,Greece,Thailand,63697.0,11408.33,Greece,0
Beijing 2008,1.0,Thailand,2,2,2,6,Beijing ,2008,China,Thailand,65079.0,12768.13,China,0
London 2012,1.0,Thailand,0,2,2,4,London ,2012,United Kingdom,Thailand,66167.0,14227.0,United Kingdom,0
Rio 2016,1.0,Thailand,2,2,2,6,Rio ,2016,Brazil,Thailand,67107.0,15454.0,Brazil,0
Tokyo 2020,1.0,Thailand,1,0,1,2,Tokyo ,2020,Japan,Thailand,,,Japan,0
Innsbruck 1976,0.0,Liechtenstein,0,0,2,2,Innsbruck ,1976,Austria,,,,Austria,0
Lake Placid 1980,0.0,Liechtenstein,2,2,0,4,Lake Placid ,1980,United States,,,,United States,0
Sarajevo 1984,0.0,Liechtenstein,0,0,2,2,Sarajevo ,1984,Bosnia and Herzegovina,,,,Former Yugoslavia,0
Calgary 1988,0.0,Liechtenstein,0,0,1,1,Calgary ,1988,Canada,,,,Canada,0
PyeongChang 2018,0.0,Liechtenstein,0,0,1,1,PyeongChang ,2018,South Korea,,,,Republic of Korea,0
Moscow 1980,1.0,Zimbabwe,1,0,0,1,Moscow ,1980,Russia,Zimbabwe,7170.0,2064.0,Russian Federation,0
Athens 2004,1.0,Zimbabwe,1,1,1,3,Athens ,2004,Greece,Zimbabwe,12336.0,1604.5,Greece,0
Beijing 2008,1.0,Zimbabwe,1,3,0,4,Beijing ,2008,China,Zimbabwe,12568.0,1197.53,China,0
Moscow 1980,1.0,United Republic of Tanzania,0,2,0,2,Moscow ,1980,Russia,U.R. of Tanzania: Mainland,18665.0,958.0,Russian Federation,0
Moscow 1980,1.0,Guyana,0,0,1,1,Moscow ,1980,Russia,,,,Russian Federation,0
Los Angeles 1984,1.0,People's Republic of China,15,8,9,32,Los Angeles ,1984,United States,China,1036825.0,2444.0,United States,0
Seoul 1988,1.0,People's Republic of China,5,11,12,28,Seoul ,1988,South Korea,China,1101630.0,3045.0,Republic of Korea,0
Albertville 1992,0.0,People's Republic of China,0,3,0,3,Albertville ,1992,France,China,1163363.0,3227.74,France,0
Barcelona 1992,1.0,People's Republic of China,16,22,16,54,Barcelona ,1992,Spain,China,1163363.0,3227.74,Spain,0
Lillehammer 1994,0.0,People's Republic of China,0,1,2,3,Lillehammer ,1994,Norway,China,1189962.0,3730.16,Norway,0
Atlanta 1996,1.0,People's Republic of China,16,22,12,50,Atlanta ,1996,United States,China,1215171.0,4219.64,United States,0
Nagano 1998,0.0,People's Republic of China,0,6,2,8,Nagano ,1998,Japan,China,1238722.0,4309.85,Japan,0
Sydney 2000,1.0,People's Republic of China,28,16,14,58,Sydney ,2000,Australia,China,1258401.0,4730.35,Australia,0
Salt Lake City 2002,0.0,People's Republic of China,2,2,4,8,Salt Lake City ,2002,United States,China,1275379.0,5343.11,United States,0
Athens 2004,1.0,People's Republic of China,32,17,14,63,Athens ,2004,Greece,China,1290620.0,6067.59,Greece,0
Beijing 2008,1.0,People's Republic of China,48,22,30,100,Beijing ,2008,China,China,1318559.0,8190.11,China,1
Vancouver 2010,0.0,People's Republic of China,5,2,4,11,Vancouver ,2010,Canada,China,1331357.0,9658.42,Canada,0
London 2012,1.0,People's Republic of China,38,31,22,91,London ,2012,United Kingdom,China,1344394.0,10680.0,United Kingdom,0
Sochi 2014,0.0,People's Republic of China,3,4,2,9,Sochi ,2014,Russia,China,1358076.0,11944.0,Russian Federation,0
Rio 2016,1.0,People's Republic of China,26,18,26,70,Rio ,2016,Brazil,China,1372860.0,12569.0,Brazil,0
PyeongChang 2018,0.0,People's Republic of China,1,6,2,9,PyeongChang ,2018,South Korea,China,1385439.0,13101.71,Republic of Korea,0
Tokyo 2020,1.0,People's Republic of China,38,32,18,88,Tokyo ,2020,Japan,China,,,Japan,0
Los Angeles 1984,1.0,Syrian Arab Republic,0,1,0,1,Los Angeles ,1984,United States,Syrian Arab Republic,10114.0,9792.0,United States,0
Atlanta 1996,1.0,Syrian Arab Republic,1,0,0,1,Atlanta ,1996,United States,Syrian Arab Republic,14742.0,9517.37,United States,0
Athens 2004,1.0,Syrian Arab Republic,0,0,1,1,Athens ,2004,Greece,Syrian Arab Republic,17813.0,7051.43,Greece,0
Tokyo 2020,1.0,Syrian Arab Republic,0,0,1,1,Tokyo ,2020,Japan,Syrian Arab Republic,,,Japan,0
Los Angeles 1984,1.0,Côte d'Ivoire,0,1,0,1,Los Angeles ,1984,United States,Cote d'Ivoire,9963.0,2703.0,United States,0
Rio 2016,1.0,Côte d'Ivoire,1,0,1,2,Rio ,2016,Brazil,Cote d'Ivoire,26354.0,3395.0,Brazil,0
Tokyo 2020,1.0,Côte d'Ivoire,0,0,1,1,Tokyo ,2020,Japan,Cote d'Ivoire,,,Japan,0
Los Angeles 1984,1.0,Algeria,0,0,2,2,Los Angeles ,1984,United States,Algeria,21341.0,5361.0,United States,0
Barcelona 1992,1.0,Algeria,1,0,1,2,Barcelona ,1992,Spain,Algeria,26387.0,4850.22,Spain,0
Atlanta 1996,1.0,Algeria,2,0,1,3,Atlanta ,1996,United States,Algeria,28721.0,5451.63,United States,0
Sydney 2000,1.0,Algeria,1,1,3,5,Sydney ,2000,Australia,Algeria,30515.0,6834.55,Australia,0
Beijing 2008,1.0,Algeria,0,1,1,2,Beijing ,2008,China,Algeria,34480.0,11475.0,China,0
London 2012,1.0,Algeria,1,0,0,1,London ,2012,United Kingdom,Algeria,37217.0,13379.0,United Kingdom,0
Rio 2016,1.0,Algeria,0,2,0,2,Rio ,2016,Brazil,Algeria,40102.0,14331.0,Brazil,0
Los Angeles 1984,1.0,Dominican Republic,0,0,1,1,Los Angeles ,1984,United States,Dominica,74.0,2802.0,United States,0
Athens 2004,1.0,Dominican Republic,1,0,0,1,Athens ,2004,Greece,Dominica,72.0,6602.7,Greece,0
Beijing 2008,1.0,Dominican Republic,1,1,0,2,Beijing ,2008,China,Dominica,73.0,8454.06,China,0
London 2012,1.0,Dominican Republic,1,1,0,2,London ,2012,United Kingdom,Dominica,73.0,8823.0,United Kingdom,0
Rio 2016,1.0,Dominican Republic,0,0,1,1,Rio ,2016,Brazil,Dominica,74.0,9550.0,Brazil,0
Tokyo 2020,1.0,Dominican Republic,0,3,2,5,Tokyo ,2020,Japan,Dominica,,,Japan,0
Los Angeles 1984,1.0,Zambia,0,0,1,1,Los Angeles ,1984,United States,Zambia,6567.0,1269.0,United States,0
Atlanta 1996,1.0,Zambia,0,1,0,1,Atlanta ,1996,United States,Zambia,9354.0,1260.73,United States,0
Seoul 1988,1.0,Suriname,1,0,0,1,Seoul ,1988,South Korea,,,,Republic of Korea,0
Barcelona 1992,1.0,Suriname,0,0,1,1,Barcelona ,1992,Spain,,,,Spain,0
Seoul 1988,1.0,"Virgin Islands, US",0,1,0,1,Seoul ,1988,South Korea,,,,Republic of Korea,0
Seoul 1988,1.0,Senegal,0,1,0,1,Seoul ,1988,South Korea,Senegal,7465.0,2085.0,Republic of Korea,0
Seoul 1988,1.0,Indonesia,0,1,0,1,Seoul ,1988,South Korea,Indonesia,173041.0,3500.0,Republic of Korea,0
Barcelona 1992,1.0,Indonesia,2,2,1,5,Barcelona ,1992,Spain,Indonesia,185561.0,4536.41,Spain,0
Atlanta 1996,1.0,Indonesia,1,1,2,4,Atlanta ,1996,United States,Indonesia,198466.0,5851.3,United States,0
Sydney 2000,1.0,Indonesia,1,3,2,6,Sydney ,2000,Australia,Indonesia,211408.0,5384.39,Australia,0
Athens 2004,1.0,Indonesia,1,1,2,4,Athens ,2004,Greece,Indonesia,223566.0,6180.91,Greece,0
Beijing 2008,1.0,Indonesia,1,1,4,6,Beijing ,2008,China,Indonesia,234957.0,7633.17,China,0
London 2012,1.0,Indonesia,0,2,1,3,London ,2012,United Kingdom,Indonesia,245529.0,9285.0,United Kingdom,0
Rio 2016,1.0,Indonesia,1,2,0,3,Rio ,2016,Brazil,Indonesia,255079.0,10911.0,Brazil,0
Tokyo 2020,1.0,Indonesia,1,1,3,5,Tokyo ,2020,Japan,Indonesia,,,Japan,0
Seoul 1988,1.0,Costa Rica,0,1,0,1,Seoul ,1988,South Korea,Costa Rica,2875.0,7270.0,Republic of Korea,0
Atlanta 1996,1.0,Costa Rica,1,0,0,1,Atlanta ,1996,United States,Costa Rica,3541.0,8446.78,United States,0
Sydney 2000,1.0,Costa Rica,0,0,2,2,Sydney ,2000,Australia,Costa Rica,3888.0,9319.77,Australia,0
Seoul 1988,1.0,Netherlands Antilles,0,1,0,1,Seoul ,1988,South Korea,,,,Republic of Korea,0
Seoul 1988,1.0,Djibouti,0,0,1,1,Seoul ,1988,South Korea,Djibouti,417.0,2652.0,Republic of Korea,0
Albertville 1992,0.0,Unified Team,9,6,8,23,Albertville ,1992,France,,,,France,0
Barcelona 1992,1.0,Unified Team,45,38,29,112,Barcelona ,1992,Spain,,,,Spain,0
Barcelona 1992,1.0,Lithuania,1,0,1,2,Barcelona ,1992,Spain,Lithuania,3697.0,10240.94,Spain,0
Atlanta 1996,1.0,Lithuania,0,0,1,1,Atlanta ,1996,United States,Lithuania,3599.0,8793.7,United States,0
Sydney 2000,1.0,Lithuania,2,0,3,5,Sydney ,2000,Australia,Lithuania,3497.0,10806.87,Australia,0
Athens 2004,1.0,Lithuania,1,2,0,3,Athens ,2004,Greece,Lithuania,3374.0,14995.77,Greece,0
Beijing 2008,1.0,Lithuania,0,3,2,5,Beijing ,2008,China,Lithuania,3196.0,20879.8,China,0
London 2012,1.0,Lithuania,2,0,3,5,London ,2012,United Kingdom,Lithuania,2985.0,21303.0,United Kingdom,0
Rio 2016,1.0,Lithuania,0,1,3,4,Rio ,2016,Brazil,Lithuania,2866.0,24743.0,Brazil,0
Tokyo 2020,1.0,Lithuania,0,1,0,1,Tokyo ,2020,Japan,Lithuania,,,Japan,0
Barcelona 1992,1.0,Namibia,0,2,0,2,Barcelona ,1992,Spain,Namibia,1551.0,5532.67,Spain,0
Atlanta 1996,1.0,Namibia,0,2,0,2,Atlanta ,1996,United States,Namibia,1716.0,5687.12,United States,0
Tokyo 2020,1.0,Namibia,0,1,0,1,Tokyo ,2020,Japan,Namibia,,,Japan,0
Barcelona 1992,1.0,Independent Olympic Athletes,0,1,2,3,Barcelona ,1992,Spain,,,,Spain,0
Rio 2016,1.0,Independent Olympic Athletes,1,0,1,2,Rio ,2016,Brazil,,,,Brazil,0
Barcelona 1992,1.0,Croatia,0,1,2,3,Barcelona ,1992,Spain,Croatia,4318.0,9331.89,Spain,0
Atlanta 1996,1.0,Croatia,1,1,0,2,Atlanta ,1996,United States,Croatia,4300.0,11030.08,United States,0
Sydney 2000,1.0,Croatia,1,0,1,2,Sydney ,2000,Australia,Croatia,4149.0,13244.54,Australia,0
Salt Lake City 2002,0.0,Croatia,3,1,0,4,Salt Lake City ,2002,United States,Croatia,4063.0,14683.84,United States,0
Athens 2004,1.0,Croatia,1,2,2,5,Athens ,2004,Greece,Croatia,4066.0,16628.57,Greece,0
Beijing 2008,1.0,Croatia,0,2,3,5,Beijing ,2008,China,Croatia,4068.0,20717.32,China,0
Vancouver 2010,0.0,Croatia,0,2,1,3,Vancouver ,2010,Canada,Croatia,4054.0,19511.35,Canada,0
London 2012,1.0,Croatia,3,1,2,6,London ,2012,United Kingdom,Croatia,4029.0,19441.0,United Kingdom,0
Sochi 2014,0.0,Croatia,0,1,0,1,Sochi ,2014,Russia,Croatia,3998.0,19284.0,Russian Federation,0
Rio 2016,1.0,Croatia,5,3,2,10,Rio ,2016,Brazil,Croatia,3937.0,20376.0,Brazil,0
Tokyo 2020,1.0,Croatia,3,3,2,8,Tokyo ,2020,Japan,Croatia,,,Japan,0
Barcelona 1992,1.0,Israel,0,1,1,2,Barcelona ,1992,Spain,Israel,4824.0,21531.6,Spain,0
Atlanta 1996,1.0,Israel,0,0,1,1,Atlanta ,1996,United States,Israel,5520.0,23980.0,United States,0
Sydney 2000,1.0,Israel,0,0,1,1,Sydney ,2000,Australia,Israel,6123.0,26058.84,Australia,0
Athens 2004,1.0,Israel,1,0,1,2,Athens ,2004,Greece,Israel,6629.0,25210.88,Greece,0
Beijing 2008,1.0,Israel,0,0,1,1,Beijing ,2008,China,Israel,7132.0,27857.62,China,0
Rio 2016,1.0,Israel,0,0,2,2,Rio ,2016,Brazil,Israel,8209.0,31701.0,Brazil,0
Tokyo 2020,1.0,Israel,2,0,2,4,Tokyo ,2020,Japan,Israel,,,Japan,0
Barcelona 1992,1.0,Slovenia,0,0,2,2,Barcelona ,1992,Spain,Slovenia,1990.0,15462.71,Spain,0
Lillehammer 1994,0.0,Slovenia,0,0,3,3,Lillehammer ,1994,Norway,Slovenia,1983.0,16664.71,Norway,0
Atlanta 1996,1.0,Slovenia,0,2,0,2,Atlanta ,1996,United States,Slovenia,1982.0,18376.25,United States,0
Sydney 2000,1.0,Slovenia,2,0,0,2,Sydney ,2000,Australia,Slovenia,1982.0,21501.34,Australia,0
Salt Lake City 2002,0.0,Slovenia,0,0,1,1,Salt Lake City ,2002,United States,Slovenia,1988.0,22725.31,United States,0
Athens 2004,1.0,Slovenia,0,1,3,4,Athens ,2004,Greece,Slovenia,1990.0,24150.58,Greece,0
Beijing 2008,1.0,Slovenia,1,2,2,5,Beijing ,2008,China,Slovenia,2014.0,28473.6,China,0
Vancouver 2010,0.0,Slovenia,0,2,1,3,Vancouver ,2010,Canada,Slovenia,2041.0,26000.92,Canada,0
London 2012,1.0,Slovenia,1,1,2,4,London ,2012,United Kingdom,Slovenia,2050.0,25252.0,United Kingdom,0
Sochi 2014,0.0,Slovenia,2,2,4,8,Sochi ,2014,Russia,Slovenia,2055.0,25693.0,Russian Federation,0
Rio 2016,1.0,Slovenia,1,2,1,4,Rio ,2016,Brazil,Slovenia,2058.0,26908.0,Brazil,0
PyeongChang 2018,0.0,Slovenia,0,1,1,2,PyeongChang ,2018,South Korea,Slovenia,2067.0,29244.92,Republic of Korea,0
Tokyo 2020,1.0,Slovenia,3,1,1,5,Tokyo ,2020,Japan,Slovenia,,,Japan,0
Barcelona 1992,1.0,Qatar,0,0,1,1,Barcelona ,1992,Spain,Qatar,464.0,15042.12,Spain,0
Sydney 2000,1.0,Qatar,0,0,1,1,Sydney ,2000,Australia,Qatar,555.0,45788.12,Australia,0
London 2012,1.0,Qatar,0,0,2,2,London ,2012,United Kingdom,Qatar,2057.0,153922.0,United Kingdom,0
Rio 2016,1.0,Qatar,0,1,0,1,Rio ,2016,Brazil,Qatar,2486.0,156299.0,Brazil,0
Tokyo 2020,1.0,Qatar,2,0,1,3,Tokyo ,2020,Japan,Qatar,,,Japan,0
Barcelona 1992,1.0,Malaysia,0,0,1,1,Barcelona ,1992,Spain,Malaysia,18466.0,9383.93,Spain,0
Atlanta 1996,1.0,Malaysia,0,1,1,2,Atlanta ,1996,United States,Malaysia,20419.0,12668.67,United States,0
Beijing 2008,1.0,Malaysia,0,1,0,1,Beijing ,2008,China,Malaysia,26784.0,17865.64,China,0
London 2012,1.0,Malaysia,0,1,1,2,London ,2012,United Kingdom,Malaysia,28568.0,20134.0,United Kingdom,0
Rio 2016,1.0,Malaysia,0,4,1,5,Rio ,2016,Brazil,Malaysia,30301.0,23053.0,Brazil,0
Tokyo 2020,1.0,Malaysia,0,1,1,2,Tokyo ,2020,Japan,Malaysia,,,Japan,0
Lillehammer 1994,0.0,Kazakhstan,1,2,0,3,Lillehammer ,1994,Norway,Kazakhstan,16289.0,8178.79,Norway,0
Atlanta 1996,1.0,Kazakhstan,3,4,4,11,Atlanta ,1996,United States,Kazakhstan,15872.0,7826.86,United States,0
Nagano 1998,0.0,Kazakhstan,0,0,2,2,Nagano ,1998,Japan,Kazakhstan,15485.0,8088.65,Japan,0
Sydney 2000,1.0,Kazakhstan,3,4,0,7,Sydney ,2000,Australia,Kazakhstan,15335.0,9309.42,Australia,0
Athens 2004,1.0,Kazakhstan,1,4,3,8,Athens ,2004,Greece,Kazakhstan,15629.0,13929.73,Greece,0
Beijing 2008,1.0,Kazakhstan,2,3,4,9,Beijing ,2008,China,Kazakhstan,16276.0,18665.77,China,0
Vancouver 2010,0.0,Kazakhstan,0,1,0,1,Vancouver ,2010,Canada,Kazakhstan,16701.0,19964.53,Canada,0
London 2012,1.0,Kazakhstan,3,1,7,11,London ,2012,United Kingdom,Kazakhstan,17128.0,22089.0,United Kingdom,0
Sochi 2014,0.0,Kazakhstan,0,0,1,1,Sochi ,2014,Russia,Kazakhstan,17546.0,23841.0,Russian Federation,0
Rio 2016,1.0,Kazakhstan,3,5,10,18,Rio ,2016,Brazil,Kazakhstan,17948.0,23842.0,Brazil,0
PyeongChang 2018,0.0,Kazakhstan,0,0,1,1,PyeongChang ,2018,South Korea,Kazakhstan,18323.0,25307.56,Republic of Korea,0
Tokyo 2020,1.0,Kazakhstan,0,0,8,8,Tokyo ,2020,Japan,Kazakhstan,,,Japan,0
Lillehammer 1994,0.0,Ukraine,1,0,1,2,Lillehammer ,1994,Norway,Ukraine,51638.0,5585.41,Norway,0
Atlanta 1996,1.0,Ukraine,9,2,12,23,Atlanta ,1996,United States,Ukraine,50813.0,4636.63,United States,0
Nagano 1998,0.0,Ukraine,0,1,0,1,Nagano ,1998,Japan,Ukraine,49941.0,4640.2,Japan,0
Sydney 2000,1.0,Ukraine,3,10,10,23,Sydney ,2000,Australia,Ukraine,49014.0,5165.81,Australia,0
Athens 2004,1.0,Ukraine,8,5,9,22,Athens ,2004,Greece,Ukraine,47342.0,8049.4,Greece,0
Beijing 2008,1.0,Ukraine,7,4,11,22,Beijing ,2008,China,Ukraine,46156.0,10824.08,China,0
London 2012,1.0,Ukraine,5,4,10,19,London ,2012,United Kingdom,Ukraine,45492.0,10383.0,United Kingdom,0
Sochi 2014,0.0,Ukraine,1,0,1,2,Sochi ,2014,Russia,Ukraine,44944.0,9818.0,Russian Federation,0
Rio 2016,1.0,Ukraine,2,5,4,11,Rio ,2016,Brazil,Ukraine,44210.0,9214.0,Brazil,0
PyeongChang 2018,0.0,Ukraine,1,0,0,1,PyeongChang ,2018,South Korea,Ukraine,43952.0,9813.36,Republic of Korea,0
Tokyo 2020,1.0,Ukraine,1,6,12,19,Tokyo ,2020,Japan,Ukraine,,,Japan,0
Lillehammer 1994,0.0,Uzbekistan,1,0,0,1,Lillehammer ,1994,Norway,Uzbekistan,22604.0,4744.46,Norway,0
Atlanta 1996,1.0,Uzbekistan,0,1,1,2,Atlanta ,1996,United States,Uzbekistan,23524.0,4452.88,United States,0
Sydney 2000,1.0,Uzbekistan,1,1,2,4,Sydney ,2000,Australia,Uzbekistan,25042.0,4667.26,Australia,0
Athens 2004,1.0,Uzbekistan,2,1,2,5,Athens ,2004,Greece,Uzbekistan,26268.0,5068.21,Greece,0
Beijing 2008,1.0,Uzbekistan,0,1,3,4,Beijing ,2008,China,Uzbekistan,27345.0,6278.27,China,0
London 2012,1.0,Uzbekistan,0,0,2,2,London ,2012,United Kingdom,Uzbekistan,28394.0,7928.0,United Kingdom,0
Rio 2016,1.0,Uzbekistan,4,2,7,13,Rio ,2016,Brazil,Uzbekistan,29473.0,10381.0,Brazil,0
Tokyo 2020,1.0,Uzbekistan,3,0,2,5,Tokyo ,2020,Japan,Uzbekistan,,,Japan,0
Lillehammer 1994,0.0,Belarus,0,2,0,2,Lillehammer ,1994,Norway,Belarus,10239.0,7932.0,Norway,0
Atlanta 1996,1.0,Belarus,1,6,8,15,Atlanta ,1996,United States,Belarus,10171.0,7128.35,United States,0
Nagano 1998,0.0,Belarus,0,0,2,2,Nagano ,1998,Japan,Belarus,10092.0,8481.97,Japan,0
Sydney 2000,1.0,Belarus,3,3,11,17,Sydney ,2000,Australia,Belarus,10034.0,9110.98,Australia,0
Salt Lake City 2002,0.0,Belarus,0,0,1,1,Salt Lake City ,2002,United States,Belarus,9955.0,9870.31,United States,0
Athens 2004,1.0,Belarus,2,5,6,13,Athens ,2004,Greece,Belarus,9856.0,11615.69,Greece,0
Beijing 2008,1.0,Belarus,3,4,7,14,Beijing ,2008,China,Belarus,9713.0,16224.0,China,0
Vancouver 2010,0.0,Belarus,1,1,1,3,Vancouver ,2010,Canada,Belarus,9681.0,17172.46,Canada,0
London 2012,1.0,Belarus,2,5,3,10,London ,2012,United Kingdom,Belarus,9644.0,18251.0,United Kingdom,0
Sochi 2014,0.0,Belarus,5,0,1,6,Sochi ,2014,Russia,Belarus,9609.0,18822.0,Russian Federation,0
Rio 2016,1.0,Belarus,1,4,4,9,Rio ,2016,Brazil,Belarus,9571.0,17628.0,Brazil,0
PyeongChang 2018,0.0,Belarus,2,1,0,3,PyeongChang ,2018,South Korea,Belarus,9528.0,18727.32,Republic of Korea,0
Tokyo 2020,1.0,Belarus,1,3,3,7,Tokyo ,2020,Japan,Belarus,,,Japan,0
Atlanta 1996,1.0,Czech Republic,4,3,4,11,Atlanta ,1996,United States,Czech Republic,10291.0,15386.32,United States,0
Nagano 1998,0.0,Czech Republic,1,1,1,3,Nagano ,1998,Japan,Czech Republic,10271.0,15657.43,Japan,0
Sydney 2000,1.0,Czech Republic,2,3,3,8,Sydney ,2000,Australia,Czech Republic,10231.0,17056.16,Australia,0
Salt Lake City 2002,0.0,Czech Republic,1,2,0,3,Salt Lake City ,2002,United States,Czech Republic,10173.0,18431.03,United States,0
Athens 2004,1.0,Czech Republic,1,3,5,9,Athens ,2004,Greece,Czech Republic,10174.0,20555.04,Greece,0
Beijing 2008,1.0,Czech Republic,3,3,1,7,Beijing ,2008,China,Czech Republic,10361.0,26186.05,China,0
Vancouver 2010,0.0,Czech Republic,2,0,4,6,Vancouver ,2010,Canada,Czech Republic,10450.0,25922.39,Canada,0
London 2012,1.0,Czech Republic,4,3,4,11,London ,2012,United Kingdom,Czech Republic,10487.0,26474.0,United Kingdom,0
Sochi 2014,0.0,Czech Republic,2,4,2,8,Sochi ,2014,Russia,Czech Republic,10501.0,27024.0,Russian Federation,0
Rio 2016,1.0,Czech Republic,1,2,7,10,Rio ,2016,Brazil,Czech Republic,10542.0,28823.0,Brazil,0
PyeongChang 2018,0.0,Czech Republic,2,2,3,7,PyeongChang ,2018,South Korea,Czech Republic,10605.0,30748.51,Republic of Korea,0
Tokyo 2020,1.0,Czech Republic,4,4,3,11,Tokyo ,2020,Japan,Czech Republic,,,Japan,0
Atlanta 1996,1.0,Serbia and Montenegro,1,1,2,4,Atlanta ,1996,United States,,,,United States,0
Sydney 2000,1.0,Serbia and Montenegro,1,1,1,3,Sydney ,2000,Australia,,,,Australia,0
Athens 2004,1.0,Serbia and Montenegro,0,2,0,2,Athens ,2004,Greece,,,,Greece,0
Atlanta 1996,1.0,Slovakia,1,1,1,3,Atlanta ,1996,United States,Slovakia,5336.0,12622.91,United States,0
Sydney 2000,1.0,Slovakia,1,3,1,5,Sydney ,2000,Australia,Slovakia,5352.0,13904.99,Australia,0
Athens 2004,1.0,Slovakia,2,2,2,6,Athens ,2004,Greece,Slovakia,5335.0,16570.86,Greece,0
Beijing 2008,1.0,Slovakia,3,3,0,6,Beijing ,2008,China,Slovakia,5342.0,22231.99,China,0
Vancouver 2010,0.0,Slovakia,1,1,1,3,Vancouver ,2010,Canada,Slovakia,5354.0,21941.21,Canada,0
London 2012,1.0,Slovakia,0,1,3,4,London ,2012,United Kingdom,Slovakia,5370.0,22816.0,United Kingdom,0
Sochi 2014,0.0,Slovakia,1,0,0,1,Sochi ,2014,Russia,Slovakia,5381.0,23703.0,Russian Federation,0
Rio 2016,1.0,Slovakia,2,2,0,4,Rio ,2016,Brazil,Slovakia,5393.0,25364.0,Brazil,0
PyeongChang 2018,0.0,Slovakia,1,2,0,3,PyeongChang ,2018,South Korea,Slovakia,5409.0,27075.53,Republic of Korea,0
Tokyo 2020,1.0,Slovakia,1,2,1,4,Tokyo ,2020,Japan,Slovakia,,,Japan,0
Atlanta 1996,1.0,Armenia,1,1,0,2,Atlanta ,1996,United States,Armenia,2985.0,4811.49,United States,0
Sydney 2000,1.0,Armenia,0,0,1,1,Sydney ,2000,Australia,Armenia,2966.0,5139.83,Australia,0
Beijing 2008,1.0,Armenia,0,1,4,5,Beijing ,2008,China,Armenia,2943.0,10080.81,China,0
London 2012,1.0,Armenia,0,1,1,2,London ,2012,United Kingdom,Armenia,2934.0,9077.0,United Kingdom,0
Rio 2016,1.0,Armenia,1,3,0,4,Rio ,2016,Brazil,Armenia,2919.0,10080.0,Brazil,0
Tokyo 2020,1.0,Armenia,0,2,2,4,Tokyo ,2020,Japan,Armenia,,,Japan,0
Atlanta 1996,1.0,Burundi,1,0,0,1,Atlanta ,1996,United States,Burundi,5815.0,824.51,United States,0
Rio 2016,1.0,Burundi,0,1,0,1,Rio ,2016,Brazil,Burundi,10721.0,665.0,Brazil,0
Atlanta 1996,1.0,Ecuador,1,0,0,1,Atlanta ,1996,United States,Ecuador,11526.0,6993.64,United States,0
Beijing 2008,1.0,Ecuador,0,1,0,1,Beijing ,2008,China,Ecuador,14354.0,9103.87,China,0
Tokyo 2020,1.0,Ecuador,2,1,0,3,Tokyo ,2020,Japan,Ecuador,,,Japan,0
